Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,DX,FF,FR,II,NP,PP,Total
PH 534,Main,2.0,7.0,,,7.0,7.0,5.0,2.0,1.0,,,2.0,,,,33
PH 543,Main,,7.0,,2.0,8.0,5.0,2.0,,,,,,1.0,,,25
PH 549,Main,3.0,4.0,,,1.0,2.0,3.0,2.0,,,,,,,,15
PH 555,Main,6.0,,,,,,,,,,,,,,,6
PH 557,Main,1.0,7.0,,1.0,6.0,8.0,6.0,2.0,1.0,,,,,,,32
PH 561,Main,1.0,4.0,,1.0,,,,,,,,,,,,6
PH 563,Main,1.0,6.0,,1.0,4.0,,6.0,3.0,1.0,,,,,,,22
PH 565,Main,4.0,5.0,,,5.0,12.0,8.0,5.0,3.0,,,7.0,,,,49
PH 567,Main,2.0,8.0,,2.0,17.0,6.0,10.0,2.0,,,,,1.0,,,48
PH 569,Main,3.0,3.0,,,4.0,13.0,3.0,3.0,1.0,,,,,,,31
PH 575,Main,1.0,6.0,,,11.0,5.0,3.0,,,,,,,,,26
PH 587,Main,12.0,10.0,,,3.0,,,,,,,,1.0,,,26
PH 588,Main,3.0,,,,,,,,,,,,,,,3
PH 595,Main,22.0,11.0,,,4.0,1.0,,,,,,,,,,38
PH 815,Main,,1.0,,1.0,1.0,1.0,,,,,,,,,,4
PH 821,Main,2.0,2.0,,3.0,2.0,2.0,3.0,1.0,,,,,,,,15
PHS801,Main,4.0,1.0,,,1.0,1.0,1.0,,,,,,,,,9
PS 601,Main,1.0,7.0,,,10.0,1.0,,,,,,,,,,19
PS 605,Main,6.0,6.0,,,6.0,1.0,1.0,,,,,,,,,20
PS 606,Main,2.0,8.0,,,8.0,4.0,,,,,,,,,,22
PS 609,Main,2.0,7.0,,,5.0,4.0,2.0,,,,,,,,,20
PS 621,Main,,8.0,,,3.0,,1.0,,,,,,,,,12
PS 625,Main,2.0,7.0,,,9.0,4.0,3.0,,2.0,,,,,,,27
PS 632,Main,2.0,2.0,,,1.0,,1.0,,,,,,,,,6
PS 635,Main,13.0,51.0,,1.0,11.0,,,,,,,1.0,,,,77
PS 643,Main,22.0,36.0,,1.0,42.0,6.0,,,,,,,,,,107
PS 647,Main,1.0,7.0,,,2.0,,,,,,,,,,,10
