Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,DX,FF,FR,II,NP,PP,Total
CE 465,S1,11.0,16.0,1.0,,24.0,14.0,9.0,4.0,5.0,,,,,,,84
CE 465,S2,16.0,22.0,,,14.0,16.0,4.0,2.0,2.0,,,2.0,1.0,,,79
CE 482,Main,2.0,10.0,,,14.0,20.0,15.0,12.0,10.0,,,13.0,1.0,,,97
CE 494,Main,11.0,6.0,,,2.0,,,,1.0,,,,4.0,,,24
CE6001,Main,10.0,12.0,,,7.0,2.0,5.0,,,,,1.0,1.0,,,38
CE 603,Main,5.0,5.0,,,8.0,9.0,4.0,5.0,1.0,,,1.0,,,,38
CE 605,Main,15.0,19.0,,2.0,19.0,10.0,8.0,1.0,,,,2.0,1.0,,,77
CE6101,Main,5.0,8.0,,2.0,9.0,13.0,4.0,1.0,,,,,1.0,,,43
CE 616,Main,6.0,1.0,,1.0,7.0,5.0,1.0,2.0,1.0,,,2.0,,,,26
CE 623,Main,6.0,8.0,,,6.0,2.0,,,,,,6.0,,,,28
CE 626,Main,2.0,9.0,,,5.0,3.0,,,,,,1.0,,,,20
CE 627,Main,10.0,4.0,,,3.0,1.0,,,,,,,3.0,,,21
CE 630,Main,6.0,4.0,,1.0,3.0,7.0,3.0,5.0,4.0,,,4.0,,,,37
CE 641,Main,5.0,4.0,,,2.0,2.0,2.0,1.0,,,,1.0,,,,17
CE 643,Main,2.0,5.0,,,1.0,,1.0,,1.0,,,,,,,10
CE 647,Main,1.0,4.0,,,5.0,2.0,,,,,,1.0,1.0,,,14
CE 653,Main,3.0,,,1.0,1.0,,,,1.0,,,1.0,,,,7
CE 675,Main,4.0,4.0,,,3.0,2.0,,,,,,,,,,13
CE 680,Main,2.0,3.0,,,8.0,10.0,3.0,3.0,,,,,,,,29
CE 681,Main,13.0,,,,,,,,,,,,,,,13
CE 694,Main,1.0,1.0,,,1.0,,,,,,,,,,,3
CE 695,Main,3.0,1.0,,,1.0,,,,,,,,3.0,,,8
CE 701,Main,2.0,1.0,,,2.0,5.0,2.0,,,,,,,,,12
CE 702,Main,2.0,3.0,,,5.0,1.0,1.0,,,,,1.0,,,,13
CE 703,Main,4.0,2.0,,2.0,,1.0,,,,,,,,,,9
CE 706,Main,2.0,3.0,,,2.0,,,,,,,,,,,7
CE 712,Main,11.0,22.0,,,17.0,8.0,7.0,3.0,1.0,,,2.0,1.0,,,72
CE 713,Main,3.0,14.0,,,7.0,7.0,6.0,6.0,2.0,,,3.0,,,,48
CE 717,Main,7.0,3.0,,3.0,6.0,4.0,5.0,3.0,,,,,,,,31
CE 718,Main,7.0,11.0,,,8.0,4.0,,,,,,,,,,30
CE 725,Main,12.0,14.0,,1.0,18.0,25.0,16.0,16.0,2.0,,,13.0,,,,117
CE 727,Main,3.0,3.0,,,7.0,4.0,3.0,2.0,3.0,,,4.0,1.0,,,30
CE 731,Main,2.0,3.0,,,4.0,4.0,,,,,,1.0,,,,14
CE 740,Main,7.0,12.0,,,6.0,2.0,3.0,5.0,2.0,,,2.0,,,,39
CE 742,Main,9.0,9.0,,,3.0,1.0,,,,,,,1.0,,,23
CE 751,Main,14.0,39.0,1.0,,35.0,13.0,9.0,2.0,,,,,3.0,,,116
CE 766,Main,6.0,20.0,,,20.0,25.0,7.0,6.0,7.0,,,2.0,,,,93
CE 769,Main,3.0,,,,7.0,2.0,7.0,5.0,,,,1.0,,,,25
CE 771,Main,11.0,8.0,,,6.0,2.0,,,1.0,,,,,,,28
CE 782,Main,2.0,2.0,,,5.0,3.0,2.0,2.0,2.0,,,1.0,,,,19
CE 899,Main,,,,,,,,,,,,,,,99.0,99
CES801,Main,21.0,8.0,,,6.0,,,,,,,,4.0,,,39
CH 105,D1,,,,,,,,,1.0,,,4.0,,,,5
CH 105,D2,,,,,,,,,,,,2.0,,,,2
CH 107,D1,,,,,,,,2.0,1.0,,2.0,2.0,,,,7
CH 107,D2,,,,,,1.0,,,1.0,,1.0,,,,,3
CH 107,D3,,,,,,,,,,,,1.0,,,,1
CH 111,D1,11.0,17.0,,,35.0,22.0,16.0,8.0,6.0,,14.0,,,,,129
CH 111,D2,8.0,21.0,,,34.0,31.0,19.0,18.0,11.0,,7.0,,,,,149
CH 111,D3,13.0,20.0,1.0,,40.0,27.0,19.0,15.0,8.0,,12.0,,,,,155
CH 111,D4,12.0,17.0,1.0,,44.0,27.0,9.0,5.0,8.0,,11.0,,1.0,,,135
CH 117,P1,55.0,17.0,,,7.0,1.0,,,,,,,1.0,,,81
CH 117,P10,50.0,25.0,,,6.0,1.0,,,,,,,,,,82
CH 117,P2,56.0,24.0,1.0,,6.0,1.0,,,,,,,,,,88
CH 117,P3,58.0,26.0,,,3.0,,,,,,,,,,,87
CH 117,P4,54.0,28.0,,,4.0,,,,,,,,1.0,,,87
CH 117,P7,56.0,21.0,,,2.0,,,,,,,,,,,79
CH 117,P8,47.0,30.0,,,1.0,3.0,,,,,,,1.0,,,82
CH 117,P9,50.0,29.0,,,2.0,,,,,,,,,,,81
CH 209,Main,3.0,5.0,,,7.0,4.0,5.0,1.0,2.0,,,4.0,,,,31
CH 219,Main,22.0,5.0,,,1.0,,,,,,,,,,,28
CH 225,Main,3.0,6.0,,,9.0,2.0,1.0,1.0,5.0,,,4.0,1.0,,,32
CH 231,Main,14.0,11.0,,,3.0,1.0,,,,,,,,,,29
CH 301,Main,4.0,4.0,,,1.0,1.0,1.0,5.0,9.0,,,4.0,1.0,,,30
CH 305,Main,1.0,6.0,,,2.0,5.0,8.0,5.0,3.0,,,5.0,,,,35
CH 309,Main,3.0,3.0,,,10.0,6.0,5.0,2.0,2.0,,,1.0,,,,32
CH 311,Main,4.0,4.0,,,2.0,4.0,3.0,7.0,4.0,,,3.0,,,,31
CH 313,Main,12.0,15.0,,,,,,1.0,,,,1.0,,,,29
CH 315,Main,11.0,13.0,,,2.0,1.0,,1.0,,,,1.0,,,,29
CH 397,Main,2.0,,,,,,,,,,,,,,,2
CH 401,Main,9.0,10.0,,,10.0,12.0,6.0,5.0,8.0,,,,,,,60
CH 403,Main,22.0,24.0,,,16.0,5.0,5.0,2.0,3.0,,,4.0,,,,81
CH 405,Main,9.0,16.0,1.0,,10.0,11.0,5.0,6.0,5.0,,,,1.0,,,64
CH 415,Main,40.0,14.0,,,3.0,,,,,,,,,,,57
CH 417,Main,26.0,32.0,,,,,,,,,,,,,,58
CH 425,Main,17.0,11.0,1.0,,12.0,13.0,3.0,1.0,3.0,,,1.0,,,,62
CH 433,Main,30.0,24.0,,,2.0,,,1.0,,,,,,,,57
CH 481,Main,4.0,5.0,,,36.0,12.0,1.0,1.0,,,,,,,,59
CH 507,Main,3.0,14.0,,,16.0,11.0,8.0,5.0,2.0,,,,,,,59
CH 514,Main,9.0,17.0,,,23.0,13.0,9.0,7.0,1.0,,,,,,,79
CH 521,Main,21.0,32.0,,,25.0,11.0,5.0,8.0,6.0,,,1.0,,,,109
CH 546,Main,4.0,12.0,,1.0,14.0,16.0,10.0,8.0,9.0,,,1.0,1.0,,,76
CH 547,Main,20.0,35.0,,1.0,29.0,17.0,8.0,2.0,2.0,,,,1.0,,,115
CH 584,Main,7.0,4.0,,1.0,6.0,5.0,1.0,1.0,2.0,,,,1.0,,,28
CH 593,Main,20.0,25.0,,,4.0,3.0,1.0,,,,1.0,,,,,54
CH 595,Main,4.0,1.0,,,2.0,,,,,,,,,,,7
CH 812,Main,3.0,4.0,,1.0,3.0,,1.0,,,,,,,,,12
CH 817,Main,,2.0,,,4.0,3.0,2.0,,,,,,,,,11
CH 827,Main,3.0,3.0,,,1.0,,,,,,,,,,,7
CH 831,Main,24.0,10.0,,,6.0,1.0,,,,,,,1.0,,,42
CH 839,Main,4.0,8.0,,,3.0,1.0,,,,,,,,,,16
CH 845,Main,6.0,13.0,,,7.0,,2.0,,,,,,,,,28
CH 899,Main,,,,,,,,,,,,,,5.0,34.0,39
CHS801,Main,11.0,2.0,,,1.0,,,,,,,1.0,,,,15
CL 202,S1,,,,,,,2.0,2.0,1.0,,,,3.0,,,8
CL 202,S2,,,,,,1.0,1.0,,,,,1.0,,,,3
CL 205,S1,6.0,22.0,1.0,,28.0,16.0,15.0,7.0,7.0,,,6.0,3.0,,,111
CL 205,S2,5.0,14.0,2.0,,14.0,13.0,4.0,8.0,7.0,,4.0,3.0,1.0,,,75
CL 207,S1,11.0,14.0,2.0,,18.0,12.0,8.0,4.0,3.0,,,1.0,,,,73
CL 207,S2,11.0,8.0,,,17.0,13.0,7.0,7.0,6.0,,,4.0,,,,73
CL 249,Main,48.0,50.0,,,35.0,4.0,1.0,3.0,,,,,,,,141
CL 254,S1,7.0,24.0,,,22.0,12.0,4.0,1.0,2.0,,,5.0,,,,77
CL 254,S2,10.0,15.0,2.0,,23.0,12.0,6.0,5.0,2.0,,,,7.0,,,82
CL 302,Main,,,,,,,1.0,4.0,2.0,,,1.0,,,,8
CL 306,Main,4.0,17.0,,,16.0,38.0,28.0,14.0,23.0,,,1.0,1.0,,,142
CL 327,Main,12.0,19.0,2.0,,21.0,30.0,17.0,18.0,13.0,,7.0,2.0,1.0,,,142
CL 329,S1,10.0,6.0,,,30.0,4.0,8.0,5.0,2.0,,1.0,,,,,66
CL 329,S2,7.0,11.0,,,14.0,15.0,8.0,11.0,7.0,,,,,,,73
CL 333,Main,21.0,53.0,,,42.0,16.0,5.0,5.0,1.0,,,,2.0,,,145
CL 336,Main,1.0,1.0,,,1.0,5.0,4.0,3.0,,,,,,,,15
CL 405,Main,7.0,10.0,1.0,,24.0,37.0,26.0,19.0,5.0,,,10.0,,,,139
CL 409,S1,3.0,10.0,,,18.0,15.0,6.0,6.0,5.0,,,1.0,3.0,,,67
CL 409,S2,,6.0,,,13.0,18.0,21.0,8.0,3.0,,,1.0,1.0,,,71
CL 419,Main,13.0,20.0,,,31.0,22.0,37.0,5.0,7.0,,,1.0,,,,136
CL 420,Main,,,,,,,,,,,,1.0,,,,1
CL 433,Main,1.0,36.0,,,62.0,23.0,10.0,3.0,,,,1.0,,,,136
CL 443,Main,21.0,10.0,,,5.0,2.0,1.0,,1.0,,,1.0,1.0,,,42
CL 455,Main,18.0,34.0,,,51.0,15.0,10.0,6.0,1.0,,,1.0,,,,136
CL 464,Main,5.0,7.0,1.0,,4.0,17.0,8.0,8.0,2.0,,,6.0,2.0,,,60
CL 491,Main,4.0,2.0,,,1.0,,,,,,,,1.0,,,8
CL6001,Main,2.0,15.0,,,8.0,5.0,1.0,,,,,,,,,31
CL 601,Main,4.0,2.0,1.0,,4.0,13.0,7.0,7.0,1.0,,,6.0,11.0,,,56
CL 602,Main,6.0,12.0,,,16.0,7.0,3.0,2.0,,,,2.0,11.0,,,59
CL 603,Main,4.0,7.0,,,9.0,6.0,9.0,3.0,2.0,,,1.0,,,,41
CL 605,Main,4.0,6.0,,,8.0,4.0,8.0,6.0,2.0,,,2.0,11.0,,,51
CL 607,Main,2.0,2.0,,,1.0,7.0,12.0,11.0,5.0,,,9.0,,,,49
CL 618,Main,6.0,2.0,,,2.0,1.0,,,,,,,,,,11
CL 662,Main,5.0,2.0,,,2.0,,,1.0,,,,,,,,10
CL 663,Main,8.0,2.0,,5.0,,,,,,,,,,,,15
CL 664,Main,,1.0,,,2.0,1.0,,,,,,,,,,4
CL 665,Main,5.0,5.0,,1.0,8.0,10.0,6.0,1.0,,,,3.0,7.0,,,46
CL 673,Main,10.0,5.0,,2.0,12.0,4.0,5.0,,,,,,1.0,,,39
CL 688,Main,4.0,7.0,,,7.0,3.0,9.0,5.0,3.0,,,1.0,,,,39
CL 701,Main,1.0,6.0,,,11.0,20.0,6.0,6.0,1.0,,,5.0,,,,56
CL 702,Main,,,,,,,,,,,,,,10.0,62.0,72
CL 708,Main,3.0,4.0,,1.0,6.0,2.0,1.0,7.0,3.0,,,4.0,,,,31
CL 718,Main,12.0,6.0,,1.0,3.0,3.0,,,,,,2.0,,,,27
CL 722,Main,2.0,2.0,,,1.0,,,,,,,,1.0,,,6
CL 899,Main,,,,,,,,,,,,,,,12.0,12
CLS801,Main,6.0,,,,1.0,,,,,,,,1.0,,,8
CM 503,Main,,,,,2.0,,,,,,,,,,,2
CM 507,Main,2.0,,,,2.0,,,,,,,1.0,,,,5
CM 509,Main,1.0,3.0,,6.0,1.0,2.0,,,,,,1.0,,,,14
CM 612,Main,,3.0,,1.0,2.0,,,,,,,,1.0,,,7
CM 617,Main,4.0,3.0,,,11.0,10.0,11.0,12.0,4.0,,,5.0,2.0,,,62
CM 618,Main,1.0,10.0,,1.0,8.0,4.0,4.0,2.0,13.0,,2.0,4.0,,,,49
CM 899,Main,,,,,,,,,,,,,,,17.0,17
CMS801,Main,2.0,7.0,,,1.0,,,,,,,,,,,10
CS 101,D3,67.0,81.0,10.0,,65.0,51.0,42.0,28.0,7.0,,3.0,2.0,,,,356
CS 101,D4,46.0,62.0,2.0,,66.0,60.0,50.0,24.0,23.0,,1.0,1.0,1.0,,,336
CS 105,Main,20.0,31.0,4.0,,43.0,47.0,30.0,21.0,6.0,,3.0,,,,,205
CS 213,Main,24.0,34.0,2.0,,37.0,31.0,27.0,18.0,8.0,,,13.0,,,,194
CS 215,Main,47.0,31.0,4.0,,48.0,33.0,22.0,10.0,1.0,,,3.0,,,,199
CS 218,M,,1.0,,,2.0,9.0,2.0,8.0,,,,,,,,22
CS 228,Main,24.0,32.0,3.0,,43.0,34.0,27.0,18.0,3.0,,,4.0,,,,188
CS 230,Main,13.0,28.0,,,29.0,32.0,38.0,27.0,15.0,,,8.0,,,,190
CS 231,Main,33.0,36.0,,,39.0,22.0,24.0,10.0,14.0,,,14.0,,,,192
CS 293,Main,37.0,33.0,4.0,,39.0,25.0,33.0,6.0,2.0,,,12.0,,,,191
CS 317,M,2.0,3.0,,,6.0,2.0,5.0,1.0,,,,1.0,,,,20
CS 339,Main,21.0,43.0,3.0,,61.0,49.0,19.0,7.0,3.0,,,4.0,,,,210
CS 347,M,10.0,10.0,,,20.0,16.0,12.0,8.0,6.0,,,1.0,,,,83
CS 348,Main,38.0,42.0,3.0,,49.0,31.0,12.0,10.0,4.0,,,5.0,,,,194
CS 355,Main,53.0,79.0,2.0,,59.0,10.0,1.0,4.0,1.0,,,3.0,,,,212
CS 378,Main,99.0,42.0,3.0,,22.0,15.0,2.0,2.0,3.0,,,1.0,,,,189
CS 405,Main,27.0,58.0,4.0,,30.0,28.0,15.0,11.0,2.0,,,4.0,,,,179
CS 409,M,3.0,6.0,,,4.0,5.0,10.0,2.0,3.0,,,1.0,,,,34
CS 419,M,10.0,42.0,1.0,,26.0,12.0,2.0,3.0,2.0,,,,,,,98
CS 485,Main,10.0,8.0,,,1.0,,,,,,,,,,,19
CS 490,Main,43.0,6.0,,,4.0,1.0,,,,,,,3.0,,,57
CS 492,Main,28.0,3.0,,,2.0,1.0,,,,,,,3.0,,,37
CS 496,Main,1.0,,,,,,,,,,,,,,,1
CS6001,Main,,2.0,,,2.0,,,,1.0,,,,,,,5
CS6003,Main,11.0,5.0,,,8.0,6.0,1.0,,,,,,,,,31
CS6003,S1,1.0,3.0,,,7.0,4.0,3.0,,,,,,,,,18
CS 601,Main,57.0,52.0,,,11.0,2.0,2.0,,,,,,,,,124
CS 602,Main,19.0,22.0,,,13.0,6.0,4.0,,6.0,,,,,,,70
CS 618,Main,11.0,19.0,,,8.0,1.0,,4.0,,,,1.0,,,,44
CS 626,Main,18.0,44.0,,1.0,105.0,101.0,57.0,12.0,,,,3.0,,,,341
CS 631,Main,2.0,3.0,,,7.0,5.0,2.0,,,,,4.0,,,,23
CS 635,Main,17.0,27.0,4.0,,21.0,12.0,2.0,2.0,1.0,,,1.0,,,,87
CS 663,Main,24.0,66.0,,1.0,80.0,37.0,25.0,2.0,,,,4.0,,,,239
CS 683,Main,25.0,28.0,2.0,,23.0,15.0,8.0,2.0,2.0,,,,,,,105
CS 691,Main,7.0,1.0,,,,1.0,,,,,,,1.0,,,10
CS 692,Main,4.0,4.0,,,,,,,,,,,,,,8
CS 694,Main,1.0,,,,,,,,,,,,,,,1
CS 699,Main,28.0,39.0,,,65.0,7.0,3.0,,,,,4.0,,,,146
CS 725,Main,13.0,23.0,1.0,11.0,44.0,31.0,40.0,16.0,5.0,,,2.0,,,,186
CS 744,Main,7.0,14.0,1.0,,29.0,19.0,17.0,7.0,5.0,,,1.0,,,,100
CS 760,Main,5.0,9.0,,,7.0,10.0,7.0,,,,,1.0,,,,39
CS 771,Main,2.0,4.0,,,4.0,4.0,2.0,,,,,,,,,16
CS 777,Main,17.0,11.0,,,3.0,,2.0,,,,,2.0,,,,35
CS 781,Main,5.0,12.0,,1.0,5.0,4.0,3.0,1.0,1.0,,,1.0,,,,33
CS 783,Main,6.0,6.0,,,17.0,6.0,5.0,2.0,,,,2.0,,,,44
CS 787,Main,5.0,9.0,,,3.0,2.0,,,,,,,,,,19
CS 788,Main,1.0,1.0,,,8.0,6.0,1.0,1.0,,,,2.0,,,,20
CSS801,Main,4.0,2.0,,,,,,,,,,,,,,6
DH 301,Main,3.0,8.0,,,15.0,4.0,4.0,2.0,1.0,,4.0,,,,,41
DH 301,M,,,,,1.0,5.0,3.0,,,,,,,,,9
DH 307,Main,24.0,10.0,,,14.0,2.0,2.0,1.0,1.0,,1.0,3.0,,,,58
DH 307,M,2.0,2.0,,,,,,,1.0,,,,,,,5
DH 604,Main,14.0,,,,1.0,,,,,,,,2.0,,,17
DH 607,Main,8.0,9.0,1.0,3.0,11.0,7.0,4.0,2.0,1.0,,2.0,,,,,48
DH 607,M,1.0,1.0,,,1.0,,,1.0,,,,,,,,4
DH 803,Main,1.0,12.0,,,25.0,17.0,2.0,,,,,1.0,,,,58
DH 803,M,,1.0,,,1.0,,,,,,,,,,,2
DHS801,Main,7.0,,,,1.0,,,,,,,,1.0,,,9
DS 203,M,22.0,45.0,,,57.0,53.0,37.0,15.0,3.0,,,2.0,,,,234
DS 303,M,,2.0,,,4.0,3.0,2.0,3.0,2.0,,,,,,,16
DS 601,Main,9.0,9.0,,3.0,6.0,2.0,,,,,,,,,,29
DSS801,Main,3.0,1.0,,,,,,,,,,1.0,,,,5
EC 101,D1,73.0,73.0,,,86.0,36.0,31.0,20.0,19.0,,,5.0,3.0,,,346
EC 101,D2,47.0,65.0,3.0,,83.0,64.0,60.0,19.0,2.0,,,5.0,,,,348
EC 101,D3,38.0,65.0,3.0,,88.0,61.0,35.0,19.0,4.0,,,,3.0,,,316
EC 101,D4,39.0,105.0,3.0,,93.0,41.0,27.0,11.0,7.0,,,,2.0,,,328
EC 221,Main,7.0,6.0,,,8.0,4.0,5.0,2.0,1.0,,,2.0,,,,35
EC 223,Main,5.0,10.0,,,8.0,5.0,3.0,1.0,,,,3.0,,,,35
EC 225,Main,12.0,7.0,,,6.0,2.0,4.0,2.0,4.0,,,3.0,1.0,,,41
EC 227,Main,9.0,10.0,,,5.0,5.0,1.0,2.0,3.0,,,1.0,,,,36
EC 306,Main,4.0,10.0,,,7.0,7.0,3.0,5.0,2.0,,,1.0,1.0,,,40
EC 308,Main,8.0,14.0,,,11.0,1.0,3.0,2.0,1.0,,,2.0,,,,42
EC 311,Main,6.0,6.0,,,14.0,6.0,4.0,1.0,,,,3.0,,,,40
EC 313,Main,3.0,5.0,,,8.0,6.0,6.0,4.0,5.0,,,,2.0,,,39
EC 402,Main,16.0,16.0,,,7.0,14.0,8.0,8.0,3.0,,,2.0,3.0,,,77
EC 457,M,2.0,,,,10.0,6.0,4.0,2.0,5.0,,,5.0,,,,34
EC 495,Main,16.0,7.0,,,5.0,2.0,1.0,,2.0,,1.0,1.0,1.0,,,36
EC 606,Main,8.0,16.0,,,13.0,9.0,3.0,,,,,1.0,,,,50
EC 707,Main,13.0,6.0,,,2.0,8.0,2.0,1.0,1.0,,,,2.0,,,35
EC 802,Main,1.0,2.0,,,1.0,,,,,,,,,,,4
ECS802,Main,2.0,1.0,,,,,,,,,,,,,,3
EE 101,M,,1.0,,,,2.0,1.0,,1.0,,,2.0,,,,7
EE 103,Main,38.0,52.0,4.0,,46.0,11.0,19.0,17.0,11.0,,4.0,,,,,202
EE 204,S1,6.0,16.0,2.0,,13.0,15.0,16.0,7.0,12.0,,,,,,,87
EE 204,S2,19.0,25.0,,,22.0,15.0,8.0,10.0,6.0,,5.0,,2.0,,,112
EE 207,Main,1.0,2.0,,,2.0,,,,,,,3.0,,,,8
EE 207,M,1.0,1.0,,,,,1.0,,,,,,,,,3
EE 214,Main,17.0,61.0,4.0,,74.0,29.0,12.0,4.0,2.0,,,5.0,,,,208
EE 221,M,1.0,,,,9.0,5.0,8.0,1.0,2.0,,,,2.0,,,28
EE 224,S1,29.0,34.0,2.0,,33.0,7.0,7.0,1.0,,,,3.0,,,,116
EE 224,S2,21.0,35.0,1.0,,17.0,11.0,5.0,1.0,,,,2.0,,,,93
EE 229,S1,16.0,16.0,1.0,,46.0,15.0,12.0,5.0,2.0,,,,,,,113
EE 229,S2,9.0,12.0,1.0,,33.0,12.0,5.0,7.0,6.0,,6.0,,1.0,,,92
EE 236,Main,28.0,67.0,,,81.0,20.0,6.0,6.0,6.0,,,1.0,,,,215
EE 240,Main,131.0,48.0,,,17.0,5.0,2.0,,,,,3.0,,,,206
EE 301,S1,4.0,10.0,,,26.0,30.0,18.0,7.0,1.0,,,4.0,,,,100
EE 301,S2,10.0,9.0,2.0,,6.0,9.0,5.0,24.0,40.0,,10.0,2.0,2.0,,,119
EE 321,M,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,,,,9
EE 324,Main,131.0,74.0,,,8.0,2.0,,,,,,,,,,215
EE 325,M,,,,,,,,1.0,,,,1.0,,,,2
EE 325,S1,11.0,9.0,2.0,,7.0,29.0,35.0,19.0,14.0,,,1.0,1.0,,,128
EE 325,S2,11.0,13.0,2.0,,21.0,25.0,10.0,7.0,4.0,,,,,,,93
EE 340,Main,30.0,67.0,,,72.0,31.0,5.0,8.0,1.0,,,,,,,214
EE 341,S1,11.0,23.0,,,30.0,27.0,20.0,6.0,2.0,,,5.0,2.0,,,126
EE 341,S2,8.0,12.0,,,20.0,21.0,18.0,7.0,9.0,,,4.0,,,,99
EE 353,Main,80.0,60.0,4.0,,29.0,15.0,16.0,9.0,2.0,,,1.0,,,,216
EE 451,Main,48.0,26.0,,,10.0,2.0,1.0,,1.0,,,,11.0,,,99
EE 457,Main,6.0,2.0,,,7.0,,,,,,,1.0,,,,16
EE 491,Main,68.0,20.0,,,5.0,3.0,1.0,1.0,3.0,,,,8.0,,,109
EE 601,Main,6.0,8.0,,,9.0,8.0,3.0,1.0,,,,3.0,,,,38
EE 603,Main,6.0,12.0,,,8.0,7.0,4.0,2.0,4.0,,,2.0,,,,46
EE 609,Main,19.0,13.0,1.0,,29.0,22.0,15.0,1.0,3.0,,,2.0,,,,105
EE6102,Main,4.0,6.0,,1.0,9.0,3.0,3.0,4.0,2.0,,,6.0,,,,38
EE6105,Main,6.0,5.0,,,6.0,1.0,2.0,3.0,2.0,,6.0,,,,,31
EE6107,Main,4.0,1.0,,1.0,3.0,2.0,4.0,1.0,1.0,,,,,,,18
EE6109,Main,20.0,33.0,1.0,,9.0,4.0,5.0,1.0,1.0,,,5.0,1.0,,,80
EE 616,Main,2.0,6.0,,,2.0,4.0,3.0,2.0,2.0,,,6.0,,,,29
EE 617,Main,13.0,5.0,,,2.0,,,,,,,,,,,21
EE 618,Main,18.0,28.0,1.0,,33.0,15.0,8.0,3.0,2.0,,,5.0,,,,120
EE 625,Main,1.0,3.0,,,3.0,2.0,2.0,2.0,1.0,,1.0,,,,,15
EE 635,Main,1.0,13.0,1.0,1.0,8.0,18.0,11.0,11.0,5.0,,4.0,10.0,,,,85
EE 638,Main,1.0,2.0,,,4.0,2.0,3.0,1.0,4.0,,,,,,,17
EE 640,Main,9.0,12.0,,,22.0,10.0,2.0,1.0,1.0,,2.0,4.0,3.0,,,68
EE 653,Main,2.0,11.0,,,12.0,8.0,,,,,,,,,,33
EE 657,Main,9.0,3.0,,,6.0,5.0,3.0,,,,,2.0,1.0,,,29
EE 658,Main,1.0,2.0,,,1.0,4.0,,,,,,2.0,,,,10
EE 659,Main,2.0,2.0,,1.0,10.0,8.0,14.0,12.0,16.0,,,10.0,,,,77
EE 669,Main,3.0,2.0,,4.0,15.0,15.0,9.0,1.0,2.0,,,1.0,1.0,,,56
EE 671,Main,38.0,57.0,,,42.0,13.0,9.0,3.0,2.0,,,10.0,1.0,,,181
EE 675,Main,2.0,7.0,,,7.0,2.0,1.0,4.0,4.0,,,2.0,,,,29
EE 677,Main,35.0,60.0,1.0,1.0,63.0,33.0,,2.0,,,,2.0,,,,197
EE 678,Main,7.0,18.0,1.0,1.0,22.0,12.0,3.0,,1.0,,,,2.0,,,67
EE 691,Main,14.0,4.0,,,3.0,,,,,,,,12.0,,,33
EE 692,Main,,2.0,,,,,,,,,,,1.0,,,3
EE 694,Main,30.0,8.0,,,6.0,,,,,,,,7.0,,,53
EE 701,Main,11.0,9.0,,,18.0,5.0,2.0,,,,2.0,,,,,47
EE 703,Main,1.0,3.0,,,1.0,2.0,2.0,,3.0,,,3.0,,,,15
EE 709,Main,38.0,58.0,,,22.0,10.0,9.0,3.0,1.0,,,9.0,,,,152
EE 710,Main,1.0,5.0,,,1.0,,3.0,,,,,,,,,10
EE 720,Main,2.0,7.0,,,6.0,4.0,4.0,9.0,2.0,,,4.0,,,,38
EE 723,Main,3.0,4.0,,1.0,2.0,,,,,,,1.0,,,,11
EE 733,Main,8.0,15.0,,2.0,14.0,8.0,6.0,1.0,,,,2.0,,,,62
EE 746,Main,7.0,8.0,,,4.0,5.0,3.0,,,,,1.0,,,,28
EE 748,Main,5.0,9.0,,,,,,,,,,,,,,14
EE 751,Main,1.0,2.0,,,1.0,3.0,1.0,,1.0,,,,,,,9
EE 765,Main,11.0,8.0,,,16.0,11.0,4.0,1.0,,,4.0,,,,,55
EE 769,Main,11.0,24.0,,16.0,12.0,10.0,11.0,6.0,3.0,,,8.0,,,,101
EE 785,Main,5.0,8.0,,,12.0,3.0,2.0,3.0,3.0,,,,,,,36
EE 787,Main,3.0,2.0,,1.0,3.0,,,1.0,,,,,,,,10
EE 788,Main,2.0,2.0,,4.0,1.0,,,,,,,,,,,9
EE 800,Main,8.0,7.0,,3.0,17.0,8.0,2.0,,,,,2.0,,,,47
EE 899,Main,,,,,,,,,,,,,,10.0,179.0,201
EES801,Main,11.0,5.0,,,3.0,,,,,,,,11.0,,,31
EN 110,Main,5.0,10.0,,,8.0,11.0,4.0,2.0,6.0,,2.0,,,,,48
EN 203,Main,8.0,5.0,,,4.0,11.0,7.0,6.0,5.0,,,2.0,,,,48
EN 204,Main,5.0,7.0,,,9.0,9.0,6.0,8.0,1.0,,,3.0,,,,48
EN 213,Main,4.0,5.0,,,8.0,10.0,10.0,3.0,4.0,,,3.0,,,,47
EN 309,Main,10.0,28.0,,,11.0,,1.0,,,,,1.0,,,,51
EN 321,Main,,,,,,,,,,,,2.0,,,,2
EN 323,Main,13.0,20.0,,,16.0,7.0,3.0,,,,,,,,,59
EN 325,Main,4.0,6.0,,,8.0,12.0,7.0,9.0,3.0,,,2.0,,,,51
EN 327,Main,9.0,20.0,,,15.0,3.0,,1.0,1.0,,,4.0,,,,53
EN 401,S1,11.0,17.0,,,10.0,6.0,4.0,2.0,1.0,,,1.0,,,,52
EN 401,S2,6.0,5.0,,,9.0,5.0,7.0,,5.0,,,,,,,37
EN 405,Main,22.0,17.0,,,,,,,,,,,,,,39
EN 406,Main,13.0,6.0,,,8.0,4.0,,,,,,2.0,1.0,,,34
EN 407,Main,2.0,9.0,,,3.0,1.0,3.0,1.0,,,,,,,,19
