Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
SC 639,Main,,1.0,1.0,1.0,,3.0,7.0,6.0,8.0,,11.0,,,,38
SC 639,M,1.0,,,,5.0,4.0,17.0,10.0,4.0,,3.0,,,,44
SC 650,Main,10.0,12.0,,,7.0,,1.0,,,,,,,,30
SC 650,M,1.0,,,,,,,,,,,,,,1
SC 651,Main,1.0,3.0,,,1.0,2.0,,,,,,,,,7
SC 651,M,,2.0,,,4.0,4.0,,,,,,,,,10
SC 654,Main,1.0,1.0,,,9.0,,,,2.0,,,,,,13
SC 654,M,,1.0,,,,,,,,,,,,,1
SC 655,Main,1.0,1.0,,,1.0,2.0,,1.0,3.0,,,,,,9
SC 655,M,,,,,,1.0,,1.0,,,,,,,2
SC 658,Main,4.0,3.0,,3.0,6.0,3.0,4.0,,,,,,,,23
SC 658,M,,1.0,,,1.0,,,,,,,,,,2
SC 662,Main,4.0,2.0,,2.0,1.0,1.0,1.0,,,,1.0,,,,12
SC 662,M,2.0,,,,,,,,,,,,,,2
SC 664,Main,3.0,6.0,,1.0,5.0,6.0,1.0,,,,,,,,22
SC 664,M,,,,,,,1.0,,,,,,,,1
SC 691,Main,3.0,2.0,,,,,,,,,,,,,5
SC 694,Main,3.0,,,,,,,,,,,,,,3
SCS801,Main,,,,,,1.0,,,,,,,,,1
TD 390,Main,6.0,5.0,,,4.0,,,,,,1.0,,,,16
TD 602,Main,4.0,6.0,,,9.0,3.0,2.0,,,,,,,,24
TD 603,Main,6.0,7.0,,,6.0,4.0,,,,,,,,,23
TD 607,Main,6.0,5.0,,,2.0,8.0,2.0,,1.0,,,,,,24
TD 608,Main,7.0,14.0,,,18.0,15.0,5.0,3.0,2.0,3.0,,,,,67
TD 609,Main,6.0,20.0,,,,,,,,,,,,,26
TD 613,Main,4.0,9.0,,,9.0,4.0,,,,,,,,,26
TD 626,Main,4.0,14.0,,,5.0,1.0,,,,,,,,,24
TD 628,Main,6.0,5.0,,,5.0,2.0,,,,,,,,,18
TD 631,Main,3.0,7.0,,1.0,2.0,1.0,,,,,,,,,14
TD 638,Main,5.0,5.0,,,11.0,3.0,,,1.0,,,,,,25
TD 638,M,1.0,,,,,1.0,,,,,,,,,2
TD 651,Main,1.0,,,,6.0,1.0,,,,,,,,,8
TD 899,Main,,,,,,,,,,,,,,27.0,27
TDO601,Main,3.0,4.0,,,2.0,,,,,,,,,,9
TDO603,Main,,,,,,,,,,,,,,9.0,9
TDO605,Main,3.0,5.0,,,,,,,,,1.0,,,,9
TDO606,Main,2.0,1.0,,,2.0,3.0,1.0,,,,,,,,9
TDO611,Main,1.0,2.0,,,4.0,1.0,,,,,1.0,,,,9
