Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
CL 491,Main,14.0,5.0,,,1.0,1.0,,,,,,8.0,,,29
CL 501,Main,5.0,6.0,,,4.0,2.0,2.0,,,,,,,,19
CL 601,Main,9.0,9.0,,,15.0,17.0,15.0,4.0,6.0,,1.0,,,,76
CL 602,Main,6.0,15.0,,,16.0,17.0,5.0,9.0,2.0,,1.0,,,,71
CL 605,Main,9.0,18.0,,1.0,24.0,10.0,12.0,1.0,,,2.0,,,,77
CL 607,Main,2.0,3.0,,,9.0,21.0,18.0,12.0,6.0,,1.0,,,,72
CL 651,Main,1.0,4.0,,3.0,2.0,,,,,,2.0,1.0,,,13
CL 664,Main,,,,,,,,,,,,1.0,,,1
CL 665,Main,5.0,13.0,,2.0,11.0,13.0,4.0,3.0,4.0,,5.0,3.0,,,63
CL 673,Main,3.0,8.0,,,10.0,5.0,4.0,2.0,,,,,,,32
CL 688,Main,,3.0,,,7.0,3.0,7.0,7.0,7.0,,5.0,,,,39
CL 701,Main,2.0,13.0,1.0,,23.0,19.0,10.0,4.0,3.0,,1.0,,,,76
CL 702,Main,,,,,,,,,,,,,3.0,98.0,101
CL 708,Main,2.0,2.0,,,2.0,,,,,,2.0,,,,8
CL 710,Main,1.0,1.0,,5.0,1.0,,,,,,,,,,8
CL 713,Main,3.0,2.0,,1.0,5.0,5.0,1.0,1.0,,,,,,,18
CL 714,Main,1.0,2.0,,1.0,2.0,,,1.0,,,,,,,7
CL 715,Main,11.0,,,,2.0,1.0,,,,,,1.0,,,15
CL 718,Main,15.0,11.0,,,4.0,5.0,3.0,,,,2.0,,,,40
CL 899,Main,,,,,,,,,,,,,,17.0,17
CLS801,Main,6.0,3.0,,,,,,,,,,2.0,,,11
CM 402,Main,1.0,4.0,,,5.0,2.0,,,,2.0,,,,,14
CM 507,Main,3.0,3.0,,3.0,6.0,2.0,,,,,,,,,17
CM 617,Main,22.0,41.0,2.0,1.0,85.0,59.0,38.0,5.0,6.0,,3.0,,,,262
CM 618,Main,9.0,39.0,,1.0,28.0,18.0,15.0,9.0,10.0,,,,,,129
CM 619,Main,3.0,1.0,,1.0,,3.0,1.0,,,,1.0,,,,10
CM 621,Main,2.0,4.0,,1.0,2.0,,3.0,1.0,,,,,,,13
CM 899,Main,,,,,,,,,,,,,,16.0,16
CMS801,Main,8.0,6.0,,,2.0,1.0,,,,,,,,,17
CS 105,Main,28.0,30.0,2.0,,47.0,33.0,35.0,12.0,7.0,5.0,,,,,199
CS 213,Main,23.0,35.0,2.0,,40.0,31.0,32.0,29.0,9.0,,9.0,,,,210
CS 215,Main,24.0,53.0,1.0,,42.0,31.0,31.0,11.0,16.0,,2.0,,,,211
CS 219,Main,,,,,,,2.0,1.0,1.0,,2.0,,,,6
CS 228,Main,25.0,31.0,4.0,,42.0,38.0,37.0,20.0,8.0,,1.0,,,,206
CS 230,Main,14.0,30.0,1.0,,37.0,50.0,47.0,13.0,6.0,,7.0,,,,205
CS 231,Main,118.0,36.0,2.0,,9.0,15.0,12.0,11.0,4.0,,2.0,,,,209
CS 293,Main,42.0,44.0,2.0,,45.0,23.0,25.0,8.0,15.0,,4.0,,,,208
CS 310,Main,11.0,20.0,,,44.0,54.0,43.0,7.0,,,1.0,,,,180
CS 317,Main,,,,,,2.0,2.0,1.0,,1.0,1.0,,,,7
CS 317,M,4.0,4.0,,,8.0,10.0,5.0,2.0,,1.0,,,,,34
CS 339,Main,13.0,32.0,4.0,,64.0,29.0,26.0,9.0,6.0,,4.0,,,,187
CS 347,M,6.0,6.0,,,5.0,10.0,8.0,11.0,5.0,,,,,,51
CS 348,Main,14.0,41.0,,,45.0,23.0,24.0,19.0,14.0,,6.0,,,,186
CS 355,Main,55.0,50.0,3.0,,42.0,18.0,9.0,2.0,1.0,,3.0,,,,183
CS 378,Main,23.0,44.0,,,21.0,49.0,33.0,12.0,3.0,,,,,,185
CS 396,Main,,1.0,,,,,,,,,1.0,,,,2
CS 405,Main,18.0,23.0,1.0,,30.0,52.0,36.0,24.0,13.0,,,,,,197
CS 409,Main,4.0,10.0,1.0,,24.0,11.0,8.0,5.0,4.0,,,,,,67
CS 409,M,3.0,8.0,1.0,,20.0,10.0,4.0,3.0,1.0,,2.0,,,,52
CS 419,Main,,,,,,1.0,,,,,,,,,1
CS 419,M,10.0,24.0,,,9.0,10.0,1.0,,1.0,,,,,,55
CS 485,Main,8.0,4.0,,,2.0,,,,,,,,,,14
CS 490,Main,22.0,8.0,,,7.0,,,1.0,,,,2.0,,,40
CS 492,Main,40.0,10.0,,,2.0,,,,,,,,,,52
CS 496,Main,4.0,,,,,,,,,,,,,,4
CS6001,Main,1.0,3.0,,,10.0,2.0,,,,,,,,,16
CS6007,Main,15.0,12.0,,6.0,7.0,3.0,1.0,,,,,,,,44
CS6008,S1,5.0,9.0,1.0,,13.0,1.0,8.0,3.0,1.0,,1.0,,,,42
CS6008,S3,3.0,,,,5.0,3.0,1.0,1.0,1.0,,,,,,14
CS 601,Main,7.0,22.0,,,30.0,34.0,23.0,6.0,,3.0,,1.0,,,126
CS 602,Main,7.0,14.0,,,21.0,11.0,5.0,,,,1.0,,,,59
CS 604,Main,1.0,1.0,,,1.0,,1.0,,,,,,,,4
CS 618,Main,4.0,8.0,,,6.0,9.0,2.0,2.0,,,1.0,,,,32
CS 631,Main,2.0,2.0,,1.0,1.0,2.0,1.0,,1.0,,,,,,10
CS 635,Main,14.0,30.0,2.0,,31.0,14.0,5.0,5.0,4.0,,1.0,,,,106
CS 663,Main,10.0,19.0,,,29.0,45.0,27.0,17.0,4.0,,1.0,,,,152
CS 675,Main,6.0,15.0,,,16.0,16.0,7.0,3.0,1.0,,3.0,,,,67
CS 683,Main,35.0,29.0,1.0,,46.0,13.0,1.0,2.0,,,1.0,,,,128
CS 691,Main,5.0,1.0,,,1.0,,,,,,,,,,7
CS 692,Main,1.0,,,,,,,,,,,,,,1
CS 694,Main,,2.0,,,,,,,,,,,,,2
CS 699,Main,19.0,41.0,,,56.0,19.0,1.0,,,,1.0,,,,137
CS 725,Main,12.0,20.0,4.0,8.0,70.0,34.0,28.0,6.0,3.0,,1.0,,,,186
CS 735,Main,4.0,4.0,,,3.0,,,,,,,,,,11
CS 740,Main,1.0,2.0,,,,,1.0,,,,,,,,4
CS 744,Main,13.0,15.0,,2.0,27.0,17.0,13.0,16.0,10.0,,6.0,,,,119
CS 747,S1,7.0,12.0,,,19.0,27.0,23.0,24.0,10.0,,9.0,,,,131
CS 747,S2,16.0,20.0,,,13.0,21.0,17.0,17.0,15.0,,5.0,,,,124
CS 757,Main,28.0,35.0,,,14.0,14.0,9.0,5.0,1.0,,1.0,,,,107
CS 765,Main,4.0,5.0,,,7.0,6.0,4.0,4.0,6.0,,4.0,,,,40
CS 767,Main,6.0,9.0,,,4.0,1.0,1.0,,,,,,,,21
CS 771,Main,2.0,2.0,,1.0,6.0,3.0,1.0,1.0,3.0,,,,,,19
CS 772,Main,14.0,17.0,,,38.0,20.0,9.0,4.0,2.0,,1.0,,,,105
CS 777,Main,19.0,16.0,,,4.0,,,,,,,1.0,,,40
CS 781,Main,4.0,5.0,,,2.0,2.0,2.0,1.0,1.0,,1.0,,,,18
CS 782,Main,2.0,,,1.0,,,,,,,,,,,3
CS 790,Main,3.0,1.0,,,6.0,5.0,3.0,,,1.0,,,,,19
CS 791,Main,8.0,13.0,2.0,,23.0,12.0,13.0,8.0,2.0,,,,,,81
CSS801,Main,8.0,2.0,,,,1.0,,,,,,,,,11
DH 301,Main,,3.0,,,12.0,18.0,10.0,7.0,,,1.0,,,,51
DH 301,M,,,,,1.0,1.0,,,,,,,,,2
DH 302,Main,7.0,13.0,1.0,,17.0,9.0,,,1.0,,5.0,,,,53
DH 302,M,,,,,1.0,,1.0,,1.0,,,,,,3
DH 308,Main,8.0,21.0,,1.0,18.0,13.0,,1.0,1.0,,5.0,,,,68
DH 308,M,1.0,2.0,,,,1.0,,,,,,,,,4
DH 605,Main,1.0,4.0,,,1.0,,,,,,,,,,6
DH 607,Main,2.0,10.0,,3.0,17.0,1.0,,,,,,,,,33
DH 607,M,1.0,,,,,,,,,,,,,,1
DH 801,Main,6.0,15.0,,1.0,12.0,3.0,,1.0,1.0,,,,,,39
DH 801,M,,,,,,,1.0,,,,,,,,1
DH 899,Main,,,,,,,,,,,,,,12.0,12
DHS801,Main,5.0,1.0,,,,,,,,,,,,,6
DS 203,M,9.0,18.0,1.0,,34.0,62.0,40.0,25.0,4.0,,3.0,,,,196
DS 601,Main,4.0,3.0,,2.0,3.0,4.0,1.0,,,,,,,,17
DS 603,Main,7.0,4.0,,1.0,6.0,1.0,,,,,,,,,19
DS 605,Main,5.0,2.0,,,,2.0,,,,1.0,,,,,10
DS 607,Main,5.0,2.0,,2.0,3.0,1.0,,,,,,,,,13
DSS801,Main,3.0,1.0,,,,,,,,,,,,,4
EC 101,D1,40.0,49.0,2.0,,68.0,69.0,58.0,26.0,12.0,,,,,,324
EC 101,D2,45.0,69.0,4.0,,102.0,41.0,26.0,7.0,2.0,1.0,,,,,297
EC 101,D3,69.0,72.0,3.0,,86.0,33.0,12.0,14.0,23.0,,2.0,,,,314
EC 101,D4,49.0,87.0,,,98.0,85.0,49.0,15.0,7.0,,2.0,2.0,,,394
EC 213,Main,10.0,8.0,,,11.0,3.0,3.0,1.0,1.0,,2.0,,,,39
EC 217,Main,16.0,9.0,,,7.0,2.0,,3.0,,,,1.0,,,38
EC 221,Main,4.0,6.0,,,8.0,14.0,5.0,2.0,,,,,,,39
EC 223,Main,10.0,7.0,,,10.0,3.0,4.0,3.0,2.0,,3.0,,,,42
EC 225,Main,8.0,12.0,,,9.0,4.0,4.0,1.0,1.0,1.0,,1.0,,,41
EC 306,Main,4.0,8.0,,,6.0,9.0,5.0,2.0,1.0,,,,,,35
EC 308,Main,8.0,6.0,,,10.0,5.0,5.0,,,,,1.0,,,35
EC 311,Main,4.0,8.0,,,12.0,5.0,5.0,1.0,,,,,,,35
EC 313,Main,4.0,7.0,,,7.0,8.0,6.0,3.0,,,,,,,35
EC 402,Main,5.0,10.0,,1.0,9.0,5.0,2.0,5.0,3.0,,,,,,40
EC 457,M,2.0,2.0,,,3.0,2.0,4.0,3.0,7.0,,4.0,,,,27
EC 495,Main,3.0,12.0,,,10.0,7.0,3.0,2.0,,,,2.0,,,39
EC 602,Main,3.0,14.0,,,16.0,7.0,4.0,6.0,4.0,,1.0,3.0,,,58
EC 607,Main,7.0,11.0,,1.0,10.0,6.0,3.0,3.0,3.0,4.0,,,,,48
EC 607,S2,,,,,1.0,,,,,,,,,,1
EC 638,Main,5.0,15.0,,,12.0,3.0,4.0,2.0,,,,1.0,,,42
EC 700,Main,6.0,13.0,,,5.0,3.0,6.0,,3.0,,,,,,36
EC 802,Main,3.0,2.0,,,4.0,,,,,,,,,,9
ECS801,Main,1.0,1.0,,,1.0,,,,,,,,,,3
EE 103,Main,44.0,44.0,1.0,,43.0,19.0,13.0,5.0,23.0,13.0,,2.0,,,207
EE 103,S1,,,,,,,,,,,,,,,207
EE 204,M,,,,,,3.0,,,3.0,,,,,,6
EE 204,S1,25.0,10.0,1.0,,21.0,18.0,13.0,9.0,9.0,7.0,,,,,113
EE 204,S2,24.0,32.0,1.0,,11.0,9.0,6.0,3.0,3.0,,5.0,,,,94
EE 214,S1,15.0,37.0,,,26.0,18.0,10.0,4.0,1.0,,1.0,,,,112
EE 214,S2,6.0,16.0,,,31.0,20.0,10.0,2.0,3.0,,2.0,,,,90
EE 224,M,,,,,1.0,2.0,3.0,1.0,3.0,,,,,,10
EE 224,S1,24.0,34.0,2.0,,34.0,12.0,4.0,1.0,,5.0,,,,,116
EE 224,S2,10.0,24.0,,,20.0,14.0,9.0,8.0,6.0,,3.0,,,,94
EE 229,M,,1.0,,,,,1.0,2.0,4.0,,,,,,8
EE 229,S1,7.0,12.0,1.0,,31.0,24.0,16.0,9.0,9.0,,5.0,,,,114
EE 229,S2,11.0,14.0,2.0,,19.0,13.0,15.0,11.0,5.0,4.0,4.0,1.0,,,99
EE 236,S1,41.0,37.0,,,20.0,6.0,5.0,1.0,,,2.0,,,,112
EE 236,S2,13.0,36.0,,,26.0,7.0,5.0,4.0,,,,,,,91
EE 301,S1,12.0,18.0,,,17.0,12.0,12.0,21.0,19.0,,1.0,,,,112
EE 301,S2,4.0,7.0,1.0,,20.0,42.0,7.0,3.0,5.0,,1.0,,,,90
EE 325,M,1.0,,,,,,6.0,6.0,1.0,,,,,,14
EE 325,S1,16.0,12.0,3.0,,29.0,17.0,15.0,11.0,12.0,,8.0,,,,123
EE 325,S2,7.0,13.0,,,17.0,21.0,20.0,8.0,13.0,,4.0,,,,103
EE 340,S1,23.0,23.0,,,22.0,18.0,20.0,2.0,2.0,,1.0,,,,111
EE 340,S2,10.0,11.0,,,23.0,16.0,23.0,3.0,2.0,,2.0,,,,90
EE 341,M,,,,,1.0,1.0,,,,,,,,,2
EE 341,S1,15.0,20.0,2.0,,28.0,20.0,7.0,12.0,4.0,,,,,,108
EE 341,S2,7.0,19.0,,,22.0,17.0,7.0,7.0,6.0,,11.0,,,,96
EE 353,S1,23.0,10.0,2.0,,30.0,16.0,12.0,8.0,10.0,,1.0,,,,112
EE 353,S2,10.0,12.0,1.0,,15.0,20.0,11.0,10.0,7.0,,6.0,,,,92
EE 432,Main,1.0,1.0,,,,,1.0,,,,,,,,3
EE 451,Main,47.0,18.0,,,3.0,,,,,,,13.0,,,81
EE 457,Main,7.0,6.0,,,1.0,1.0,1.0,,,,,,,,16
EE 467,Main,9.0,14.0,,,18.0,9.0,4.0,1.0,3.0,5.0,,,,,63
EE 491,Main,59.0,29.0,,,4.0,1.0,2.0,1.0,1.0,,,19.0,,,116
EE 601,Main,10.0,11.0,,,19.0,8.0,16.0,2.0,2.0,,1.0,,,,69
EE 603,Main,9.0,30.0,,1.0,24.0,11.0,8.0,8.0,4.0,,,2.0,,,97
EE 609,Main,5.0,5.0,,1.0,9.0,9.0,6.0,8.0,,,3.0,,,,46
EE6101,Main,1.0,1.0,,,2.0,,,,,,,,,,4
EE6102,Main,6.0,11.0,,,4.0,5.0,1.0,2.0,,,,,,,29
EE6105,Main,1.0,10.0,,1.0,20.0,3.0,,1.0,2.0,,,,,,38
EE6107,Main,3.0,2.0,,,4.0,,1.0,,,,1.0,,,,11
EE6109,Main,18.0,37.0,,,21.0,15.0,17.0,3.0,6.0,5.0,,,,,122
EE 611,Main,5.0,7.0,,1.0,7.0,5.0,2.0,3.0,1.0,,1.0,,,,32
EE 616,Main,1.0,7.0,,,14.0,3.0,3.0,,2.0,,1.0,,,,31
EE 617,Main,4.0,9.0,,1.0,5.0,12.0,10.0,4.0,,2.0,,,,,47
EE 618,Main,16.0,26.0,1.0,,41.0,36.0,19.0,7.0,2.0,,2.0,,,,150
EE 625,Main,2.0,1.0,,,1.0,1.0,,1.0,1.0,,2.0,,,,9
EE 634,Main,9.0,5.0,,1.0,4.0,1.0,1.0,,,,2.0,,,,23
EE 635,Main,5.0,19.0,,1.0,11.0,18.0,14.0,5.0,4.0,,4.0,,,,81
EE 640,Main,1.0,4.0,,1.0,9.0,6.0,5.0,3.0,3.0,,2.0,,,,34
EE 653,Main,1.0,3.0,,,16.0,8.0,18.0,,2.0,,2.0,,,,50
EE 655,Main,2.0,1.0,,,1.0,,,,,,,,,,4
EE 657,Main,6.0,11.0,,,12.0,5.0,,,,,1.0,,,,35
EE 659,Main,1.0,2.0,,1.0,9.0,14.0,12.0,9.0,3.0,,11.0,,,,62
EE 660,Main,4.0,2.0,,,7.0,,,,,,,,,,13
EE 669,Main,9.0,7.0,,1.0,12.0,14.0,10.0,3.0,5.0,,,,,,61
EE 671,Main,24.0,53.0,2.0,,88.0,46.0,29.0,9.0,2.0,,8.0,,,,261
EE 675,Main,6.0,3.0,,,2.0,,,,,,,,,,11
EE 677,Main,23.0,29.0,,,40.0,17.0,10.0,,,,2.0,,,,121
EE 687,Main,2.0,1.0,,,,,,,,,,,,,3
EE 691,Main,17.0,5.0,,,1.0,,,,,,,9.0,,,32
EE 692,Main,,,,,1.0,,,,,,,,,,1
EE 694,Main,37.0,22.0,,,9.0,7.0,1.0,,,,4.0,7.0,,,87
EE7001,Main,10.0,12.0,,,10.0,10.0,3.0,1.0,1.0,,1.0,,,,48
EE7003,Main,1.0,6.0,,,4.0,1.0,8.0,,2.0,,,,,,22
EE 701,Main,3.0,12.0,,2.0,13.0,4.0,5.0,,2.0,,1.0,,,,42
EE 709,Main,42.0,64.0,,,38.0,16.0,7.0,7.0,,,,2.0,,,176
EE 720,Main,2.0,3.0,,,5.0,4.0,3.0,2.0,1.0,,1.0,1.0,,,22
EE 723,Main,9.0,5.0,,,2.0,1.0,,,2.0,,,,,,19
EE 733,Main,7.0,8.0,1.0,,17.0,12.0,7.0,5.0,2.0,,,,,,59
EE 746,Main,4.0,22.0,1.0,1.0,18.0,6.0,3.0,,,,2.0,,,,57
EE 748,Main,4.0,3.0,,,10.0,,,,,,,,,,17
EE 765,Main,7.0,8.0,,,7.0,10.0,8.0,3.0,1.0,,,,,,44
EE 768,Main,2.0,7.0,,,2.0,,,,,,1.0,,,,12
EE 781,Main,5.0,7.0,,1.0,3.0,1.0,,,,,,,,,17
EE 782,Main,26.0,71.0,4.0,10.0,61.0,42.0,27.0,17.0,2.0,,2.0,,,,262
EE 785,Main,6.0,4.0,,,4.0,3.0,3.0,2.0,,,1.0,,,,23
EE 788,Main,2.0,2.0,,3.0,,,,,,,,,,,7
EE 800,Main,5.0,8.0,,,11.0,5.0,3.0,,3.0,,2.0,,,,37
EE 899,Main,,,,,,,,,,,,,3.0,259.0,262
EES801,Main,5.0,11.0,,,3.0,1.0,,,,,,,,,20
EN 110,Main,5.0,5.0,,,8.0,9.0,8.0,3.0,6.0,3.0,,,,,47
EN 203,Main,2.0,5.0,,,8.0,11.0,11.0,5.0,6.0,,3.0,,,,51
EN 204,Main,2.0,12.0,,,14.0,8.0,5.0,1.0,2.0,,6.0,,,,50
EN 213,Main,6.0,6.0,,,4.0,5.0,10.0,8.0,2.0,,9.0,,,,50
EN 215,Main,3.0,12.0,,,12.0,14.0,7.0,2.0,3.0,,3.0,,,,56
EN 309,Main,42.0,,,,1.0,,,,1.0,,2.0,,,,46
EN 321,Main,4.0,4.0,,,1.0,,1.0,,,,,,,,10
EN 323,Main,6.0,3.0,,,6.0,6.0,4.0,11.0,7.0,,3.0,,,,46
EN 323,M,1.0,,,,,2.0,3.0,1.0,2.0,,6.0,,,,15
EN 325,Main,4.0,8.0,,,12.0,18.0,,2.0,,,2.0,,,,46
EN 327,Main,27.0,16.0,,,1.0,,,,1.0,,4.0,,,,49
EN 401,Main,10.0,18.0,,,9.0,10.0,,1.0,3.0,,1.0,,,,52
EN 406,Main,1.0,2.0,,,1.0,,,,,,,1.0,,,5
EN 407,Main,4.0,3.0,,,3.0,6.0,2.0,,1.0,,1.0,,,,20
EN 409,Main,3.0,3.0,,,5.0,3.0,1.0,1.0,1.0,,3.0,,,,20
EN 411,Main,3.0,5.0,,,12.0,7.0,10.0,1.0,,,2.0,,,,40
EN 413,Main,4.0,6.0,,,9.0,,1.0,,,,2.0,,,,22
EN 415,Main,3.0,8.0,,,7.0,1.0,,,,,1.0,,,,20
EN 417,Main,2.0,,,,8.0,3.0,3.0,2.0,1.0,,1.0,,,,20
EN 491,Main,5.0,4.0,,,5.0,,,,,,,,,,14
EN 601,Main,14.0,16.0,,,21.0,15.0,5.0,,,,4.0,,,,75
EN 602,Main,2.0,8.0,,,5.0,10.0,4.0,,,,4.0,,,,33
EN 606,Main,15.0,43.0,,,25.0,8.0,3.0,,,,6.0,,,,100
EN 609,Main,14.0,11.0,,,3.0,1.0,,,,,3.0,,,,32
EN 613,Main,5.0,3.0,,,7.0,1.0,2.0,2.0,2.0,,9.0,,,,31
EN 618,Main,8.0,14.0,,,6.0,11.0,5.0,4.0,,,,4.0,,,52
EN 624,Main,4.0,4.0,,,5.0,4.0,6.0,5.0,7.0,,1.0,,,,36
EN 655,Main,,5.0,,,12.0,1.0,,,,,,,,,18
EN 657,Main,3.0,3.0,,,5.0,5.0,10.0,4.0,3.0,,2.0,,,,35
EN 658,Main,1.0,2.0,,,6.0,6.0,6.0,3.0,,,1.0,,,,25
EN 663,Main,2.0,4.0,,,6.0,1.0,,,,,,,,,13
EN 665,Main,5.0,12.0,,5.0,2.0,3.0,1.0,,2.0,,1.0,,,,31
EN 691,Main,3.0,11.0,,,3.0,1.0,,,,,,,,,18
EN 694,Main,16.0,11.0,,,7.0,3.0,,,,,3.0,5.0,,,45
EN 899,Main,,,,,,,,,,,,,,2.0,2
EN 899,S1,,,,,,,,,,,,,2.0,39.0,41
EN 899,S2,,,,,,,,,,,,,3.0,48.0,51
ENT101,Main,43.0,72.0,2.0,,29.0,44.0,7.0,2.0,,,,,,,199
ENT602,Main,6.0,8.0,,,13.0,5.0,,,1.0,1.0,,,,,34
ENT602,M,,,,,2.0,,,,,,,,,,2
ENT609,Main,8.0,17.0,,,3.0,1.0,,,1.0,,,,,,30
ENT609,M,2.0,5.0,,,,,,,,,,,,,7
ENT612,Main,10.0,10.0,,,5.0,,,,,,,,,,25
ENT612,M,3.0,2.0,,,,,,,,,,,,,5
ENT614,Main,16.0,19.0,,,26.0,8.0,5.0,1.0,,,,,,,75
ENT614,M,1.0,6.0,,,4.0,1.0,2.0,1.0,,,,,,,15
ENT615,Main,6.0,4.0,,,12.0,13.0,5.0,1.0,,,,,,,41
ENT615,M,,1.0,,,2.0,3.0,3.0,4.0,,,,,,,13
ENT617,Main,2.0,10.0,,,11.0,11.0,1.0,,,,,,,,35
ENT617,M,1.0,1.0,,,1.0,3.0,1.0,1.0,,,,,,,8
ENT620,Main,7.0,3.0,,,8.0,8.0,2.0,,,,,,,,28
ENT620,M,1.0,1.0,,,,,2.0,,,,,,,,4
ENT623,Main,11.0,12.0,,,3.0,4.0,2.0,,,,,,,,32
ENT623,M,,,,,1.0,,,,,,,,,,1
ENT701,Main,,1.0,,,2.0,,,,,,,,,,3
ENT899,Main,,,,,,,,,,,,,,3.0,3
ENTS01,Main,,,,,1.0,,,,,,,,,,1
ES 101,Main,11.0,17.0,,,11.0,3.0,2.0,,,,1.0,1.0,,,46
ES 200,Main,,1.0,,,1.0,1.0,,,,,,3.0,,,6
ES 201,Main,16.0,16.0,,,6.0,4.0,2.0,1.0,1.0,,,,,,46
ES 216,Main,14.0,15.0,,1.0,9.0,4.0,,1.0,1.0,,,,,,45
ES 225,Main,16.0,9.0,,,7.0,8.0,4.0,,,,,,,,44
ES 250,Main,,,,,,,,,,,,7.0,3.0,1098.0,1108
ES 296,Main,2.0,1.0,,,3.0,1.0,2.0,,,,,,,,9
ES 308,Main,12.0,15.0,,,10.0,5.0,3.0,,,,,,,,45
ES 315,Main,5.0,8.0,,,8.0,14.0,2.0,5.0,5.0,,,,,,47
ES 317,Main,8.0,16.0,,,11.0,7.0,3.0,,,,,,,,45
ES 351,Main,39.0,3.0,,,2.0,,,,,,,,,,44
ES 401,M,2.0,,,,,,,,,,,,,,2
ES 407,Main,3.0,6.0,,,4.0,4.0,5.0,2.0,,,3.0,,,,27
ES 451,Main,39.0,10.0,,,1.0,1.0,,,,,,,,,51
ES 491,Main,3.0,2.0,,,,2.0,,,,,,,,,7
ES 494,Main,5.0,1.0,,,1.0,,,,,,,,,,7
ES 601,Main,6.0,4.0,,,5.0,4.0,4.0,1.0,1.0,,2.0,4.0,,,31
ES 607,Main,3.0,2.0,,1.0,3.0,5.0,2.0,,,,1.0,,,,17
ES 630,Main,2.0,3.0,,1.0,1.0,3.0,1.0,,,,,,,,11
ES 631,Main,6.0,4.0,,1.0,4.0,9.0,10.0,2.0,,,3.0,1.0,,,40
ES 633,Main,7.0,6.0,,,5.0,8.0,5.0,2.0,,1.0,,3.0,,,37
ES 635,Main,7.0,6.0,,,10.0,6.0,,,1.0,,2.0,,,,32
ES 637,Main,8.0,7.0,,,5.0,5.0,6.0,,1.0,,3.0,,,,35
ES 639,Main,1.0,3.0,,,3.0,5.0,3.0,4.0,,14.0,,4.0,,,37
ES 645,Main,10.0,13.0,,,9.0,9.0,5.0,2.0,,,1.0,1.0,,,50
ES 647,Main,5.0,9.0,,,10.0,5.0,1.0,,,,2.0,1.0,,,33
ES 649,Main,10.0,12.0,,,16.0,6.0,8.0,1.0,1.0,,,1.0,,,55
ES 651,Main,14.0,12.0,,,3.0,,,,,,2.0,,,,31
ES 653,Main,,,,,,,7.0,1.0,,,1.0,,,,9
ES 655,Main,11.0,21.0,,1.0,12.0,11.0,7.0,5.0,4.0,,1.0,,,,73
ES 657,Main,12.0,20.0,,,10.0,10.0,2.0,,,,,,,,54
ES 659,Main,3.0,,,1.0,3.0,2.0,,2.0,,,,,,,11
ES 694,Main,3.0,6.0,,,5.0,3.0,,,,,4.0,,,,21
ES 899,Main,,,,,,,,,,,,,3.0,49.0,52
ESS801,Main,5.0,3.0,,,1.0,,,,,,,1.0,,,10
ET 601,Main,5.0,7.0,,,1.0,,,,,,,,,,13
ET 606,Main,7.0,6.0,,,,,,,,,,,,,13
ET 610,Main,5.0,3.0,,,5.0,,,,,,,,,,13
ET 612,Main,1.0,7.0,,,3.0,2.0,,,,,,,,,13
ET 613,Main,4.0,3.0,,,5.0,1.0,1.0,,,,,,,,14
ET 617,Main,21.0,19.0,,2.0,6.0,2.0,1.0,,,,3.0,,,,54
ET 619,Main,4.0,6.0,,,1.0,,,,,,,,,,11
ET 627,Main,5.0,3.0,,8.0,3.0,,,,,,,,,,19
ET 813,Main,5.0,3.0,,,,,,,,,,,,,8
ET 899,Main,,,,,,,,,,,,,,13.0,13
ETS801,Main,,1.0,,,,,,,,,,,,,1
GNR603,Main,7.0,11.0,,,8.0,4.0,3.0,,,,5.0,,,,38
GNR605,Main,1.0,10.0,,,13.0,22.0,13.0,15.0,4.0,,8.0,,,,86
GNR607,Main,14.0,16.0,,,10.0,15.0,2.0,7.0,,6.0,,,,,70
GNR615,Main,12.0,9.0,,,7.0,2.0,2.0,1.0,5.0,,,,,,38
GNR617,Main,18.0,10.0,,,2.0,,,,,,2.0,2.0,,,34
GNR619,Main,9.0,13.0,,,13.0,10.0,9.0,,,,2.0,1.0,,,57
GNR621,Main,12.0,13.0,,,6.0,3.0,1.0,,,,4.0,1.0,,,40
GNR627,Main,12.0,8.0,,,10.0,8.0,7.0,6.0,1.0,,3.0,,,,55
GNR636,Main,4.0,3.0,,3.0,3.0,3.0,,,1.0,,3.0,,,,20
GNR642,Main,5.0,3.0,,,6.0,2.0,,,,,,,,,16
GNR650,Main,9.0,13.0,,3.0,9.0,4.0,3.0,1.0,,,,,,,42
GNR653,Main,,5.0,,1.0,3.0,,,,,,,,,,9
GNR805,Main,2.0,,,,,,,,,,,,,,2
GNR899,Main,,,,,,,,,,,,,,11.0,11
GNRS01,Main,4.0,,,,,,,,,1.0,,,,,5
GP 101,Main,4.0,7.0,,,8.0,6.0,3.0,,,,,,,,28
GP 401,Main,7.0,5.0,,,5.0,,1.0,,,,,1.0,,,19
GP 403,Main,3.0,4.0,,,4.0,3.0,1.0,1.0,2.0,,2.0,,,,20
GP 407,Main,10.0,5.0,,,3.0,,,,,,1.0,,,,19
GP 413,Main,3.0,5.0,,,4.0,4.0,1.0,1.0,,,,1.0,,,19
GP 415,Main,8.0,5.0,,,5.0,,,,,,,1.0,,,19
GP 503,Main,3.0,6.0,,,4.0,3.0,1.0,,,,1.0,,,,18
GP 505,Main,5.0,3.0,,,4.0,4.0,1.0,,,,,,,,17
GP 517,Main,2.0,8.0,,,5.0,3.0,,,,,,,,,18
