Degree,Branch,Specialization,Year,Sem,Course Code,Course Name,Course Type,Credits
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Power Electronics and Power Systems,4,Autumn,EE 653,Power Electronics-1,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Power Electronics and Power Systems,4,Autumn,EE 673,Power Systems and Power Electronics -1,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Power Electronics and Power Systems,4,Autumn,EE 657,Electric Devices -1,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Power Electronics and Power Systems,4,Autumn,EE 6105,Power System Modeling and Control,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Power Electronics and Power Systems,4,Autumn,ES 250,Environment Studies : Science and Engineering,Theory,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Power Electronics and Power Systems,4,Autumn,HS 250,Environment Studies,Theory,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,1,Autumn,CH 105,Organic & Inorganic Chemistry,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,1,Autumn,CH 107,Physical Chemistry,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,1,Autumn,CS 101,Computer Programming and Utilization,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,1,Autumn,EE 113,Introduction to Electrical Engineering Practice,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,1,Autumn,MA 109,Calculus I,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,1,Autumn,MA 111,Calculus II,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,1,Autumn,NOCS01,NCC/NSS/NSO,Non-credit,0
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,1,Autumn,PH 107,Quantum Physics and Application,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Autumn,EE 204,Analog Circuits,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Autumn,EE 214,Digital Circuits Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Autumn,EE 224,Digital Systems,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Autumn,EE 229,Signal Processing – I,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Autumn,EE 240,Power Engineering Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Autumn,EE 325,Probability and Random Processes,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Spring,DE 250,Design Thinking for Innovation,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Spring,EE 207,Electronic Devices & Circuits,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Spring,EE 230,Analog Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Spring,EE 238,Power Engineering - II,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Spring,EE 302,Control Systems,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Spring,EE 309,Microprocessors,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,2,Spring,EE 337,Microprocessors Laboratory,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,3,Autumn,EE 236,Electronic Devices Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,3,Autumn,EE 301,Electromagnetic Waves,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,3,Autumn,EE 324,Control Systems Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,3,Autumn,EE 340,Communications Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,3,Autumn,EE 341,Communication Systems - I,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,3,Autumn,EE 353,Introduction to Data Science and Machine Learning,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,3,Spring,EE 338,Digital Signal Processing,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,3,Spring,EE 344,Electronic Design Lab,Lab,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Electronic Systems,3,Spring,EE 350,Technical Communication,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,1,Autumn,CH 105,Organic & Inorganic Chemistry,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,1,Autumn,CH 107,Physical Chemistry,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,1,Autumn,CS 101,Computer Programming and Utilization,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,1,Autumn,EE 113,Introduction to Electrical Engineering Practice,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,1,Autumn,MA 109,Calculus I,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,1,Autumn,MA 111,Calculus II,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,1,Autumn,NOCS01,NCC/NSS/NSO,Non-credit,0
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,1,Autumn,PH 107,Quantum Physics and Application,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Autumn,EE 204,Analog Circuits,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Autumn,EE 214,Digital Circuits Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Autumn,EE 224,Digital Systems,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Autumn,EE 229,Signal Processing – I,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Autumn,EE 240,Power Engineering Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Autumn,EE 325,Probability and Random Processes,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Spring,DE 250,Design Thinking for Innovation,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Spring,EE 207,Electronic Devices & Circuits,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Spring,EE 230,Analog Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Spring,EE 238,Power Engineering - II,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Spring,EE 302,Control Systems,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Spring,EE 309,Microprocessors,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,2,Spring,EE 337,Microprocessors Laboratory,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,3,Autumn,EE 236,Electronic Devices Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,3,Autumn,EE 301,Electromagnetic Waves,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,3,Autumn,EE 324,Control Systems Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,3,Autumn,EE 340,Communications Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,3,Autumn,EE 341,Communication Systems - I,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,3,Autumn,EE 353,Introduction to Data Science and Machine Learning,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,3,Spring,EE 338,Digital Signal Processing,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,3,Spring,EE 344,Electronic Design Lab,Lab,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Integrated Circuits & Systems,3,Spring,EE 350,Technical Communication,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,1,Autumn,CH 105,Organic & Inorganic Chemistry,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,1,Autumn,CH 107,Physical Chemistry,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,1,Autumn,CS 101,Computer Programming and Utilization,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,1,Autumn,EE 113,Introduction to Electrical Engineering Practice,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,1,Autumn,MA 109,Calculus I,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,1,Autumn,MA 111,Calculus II,Theory,4
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,1,Autumn,NOCS01,NCC/NSS/NSO,Non-credit,0
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,1,Autumn,PH 107,Quantum Physics and Application,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Autumn,EE 204,Analog Circuits,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Autumn,EE 214,Digital Circuits Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Autumn,EE 224,Digital Systems,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Autumn,EE 229,Signal Processing – I,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Autumn,EE 240,Power Engineering Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Autumn,EE 325,Probability and Random Processes,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Spring,DE 250,Design Thinking for Innovation,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Spring,EE 207,Electronic Devices & Circuits,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Spring,EE 230,Analog Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Spring,EE 238,Power Engineering - II,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Spring,EE 302,Control Systems,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Spring,EE 309,Microprocessors,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,2,Spring,EE 337,Microprocessors Laboratory,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,3,Autumn,EE 236,Electronic Devices Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,3,Autumn,EE 301,Electromagnetic Waves,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,3,Autumn,EE 324,Control Systems Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,3,Autumn,EE 340,Communications Lab,Lab,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,3,Autumn,EE 341,Communication Systems - I,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,3,Autumn,EE 353,Introduction to Data Science and Machine Learning,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,3,Spring,EE 344,Electronic Design Lab,Lab,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,3,Spring,EE 350,Technical Communication,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,3,Spring,EE 620,Physics of Transistors,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,4,Autumn,EE 669,VLSI Technology,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,4,Autumn,EE 735,Microelectronics Simulation Lab,Theory,6
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,4,Autumn,ES 250,Environment Studies : Science and Engineering,Theory,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,4,Autumn,HS 250,Environment Studies,Theory,3
Dual Degree (B.Tech. + M.Tech.),Electrical Engineering,Solid State Devices,4,Spring,EE 672,Microelectronics Technology Lab,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Autumn,BB 101,Biology,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Autumn,CH 117,Chemistry Lab,Lab,3
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Autumn,IE 101,Introduction to IE and OR,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Autumn,MA 105,Calculus,Theory,8
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Autumn,MS 101,Makerspace,Lab,8
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Autumn,NOCS01,NCC/NSS/NSO,Non-credit,0
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Spring,CS 101,Computer Programming and Utilization,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Spring,IE 102,Probability and Statistics,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Spring,MA 110,Linear Algebra and Differential Equations,Theory,8
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Spring,NOCS02,NCC/NSS/NSO,Non-credit,0
B.Tech.,Industrial Engineering and Operations Research,N/A,1,Spring,PH 117,Physics Lab,Lab,3
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Spring,EC 101,Economics,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Autumn,DE 250,Economics,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Spring,ES 250,Environmental Studies : Science and Engineering,Non-credit,3
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Spring,HS 250,Environmental Studies,Non-credit,3
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Autumn,IE 203,Data Structures and Algorithms,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Autumn,IE 205,Industrial Engineering Lab,Lab,3
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Autumn,IE 207,Industrial Systems,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Autumn,IE 209,Linear Optimization and Network Flows,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Autumn,IE 211,Programming & Computing Lab, Lab,3
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Spring,IE 201,"Data Analytics, AI/ML Lab",Lab,3
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Spring,IE 202,Digital Enterprise Systems Lab,Lab,3
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Spring,IE 204,Feedback and Dynamics,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Spring,IE 206,Introduction to Artificial Intelligence and Machine Learning,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Spring,IE 208,Nonlinear and Discrete Optimization,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,2,Spring,IE 210,Optimization Modeling LAB,Lab,3
B.Tech.,Industrial Engineering and Operations Research,N/A,3,Autumn,IE 301,Operations Analysis,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,3,Autumn,IE 303,Simulation,Theory,6
B.Tech.,Industrial Engineering and Operations Research,N/A,3,Autumn,IE 305,Simulation Lab,Lab,3
B.Tech.,Industrial Engineering and Operations Research,N/A,3,Autumn,IE 307,Stochastic Processes & Queuing Systems,Theory,6
B.S.,Applied Geophysics,N/A,1,Autumn,CH 111,Chemistry,Theory,8
B.S.,Applied Geophysics,N/A,1,Autumn,CH 117,Chemistry,Lab,3
B.S.,Applied Geophysics,N/A,1,Autumn,GP 101,Solid-Earth Geophysics,Theory,6
B.S.,Applied Geophysics,N/A,1,Autumn,MA 105,Calculus,Theory,8
B.S.,Applied Geophysics,N/A,1,Autumn,MS 101,Makerspace,Theory,8
B.S.,Applied Geophysics,N/A,1,Autumn,NOCS01,NCC/NSS/NSO,Non-credit,0
B.S.,Applied Geophysics,N/A,1,Autumn,GC 101,Gender in the workplace,Non-credit,0
