Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
HS 656,Main,4.0,2.0,,2.0,1.0,,,,,,,,,,9
HS 657,Main,1.0,2.0,,,2.0,,,,1.0,,,,,,6
HS 661,Main,1.0,1.0,,1.0,1.0,,,,,,,,,,4
HS 662,Main,2.0,2.0,,1.0,2.0,,,,,,,,,,7
HS 663,Main,8.0,10.0,,,15.0,4.0,3.0,2.0,1.0,,,,,,43
HS 666,Main,1.0,,,,1.0,2.0,,,,,,,,,4
HS 673,Main,,2.0,,1.0,5.0,1.0,,,2.0,,2.0,,,,13
HS 678,Main,1.0,8.0,,1.0,4.0,4.0,2.0,3.0,2.0,,,,,,25
HS 694,Main,1.0,4.0,,,2.0,,,,,,,,,,7
HS 713,Main,1.0,3.0,,,,,,,,,,,,,4
HS 804,Main,2.0,1.0,,,3.0,1.0,,,,,,,,,7
HS 805,Main,3.0,1.0,,,,,,,,,,,,,4
HS 814,Main,,,,,2.0,,,,,,,,,,2
HS 840,Main,1.0,,,1.0,,1.0,,,,,,,,,3
HS 842,Main,1.0,,,,,1.0,,,,,,2.0,,,4
HS 843,Main,7.0,2.0,,2.0,5.0,,1.0,,,,,,,,17
HS 845,Main,4.0,5.0,,1.0,12.0,11.0,7.0,4.0,7.0,,6.0,,,,57
HS 859,Main,3.0,1.0,,2.0,,,,,,,,,,,6
HS 867,Main,2.0,,,,,,,,,,,,,,2
HS 869,Main,2.0,7.0,,1.0,1.0,,,,,,,,,,11
HS 870,Main,1.0,,,1.0,,,,,,,,,,,2
HS 871,Main,1.0,1.0,,,,,,,,,,,,,2
HS 872,Main,1.0,,,,,,,,,,,,,,1
HS 873,Main,1.0,,,,,,,,,,,,,,1
HSS802,Main,2.0,8.0,,,1.0,,,,,,,,,,11
DE 102,Main,6.0,14.0,,,12.0,4.0,1.0,,1.0,,,,,,38
DE 106,Main,5.0,11.0,,,12.0,8.0,,,1.0,,1.0,,,,38
DE 109,S1,13.0,67.0,,,21.0,2.0,1.0,,,,,,,,104
DE 109,S2,28.0,83.0,,,31.0,5.0,3.0,2.0,,1.0,,,,,153
DE 110,Main,,,,,15.0,,,,,,,,,,15
DE 112,Main,20.0,16.0,,,,,,,,,,,,,36
DE 114,Main,2.0,9.0,,,6.0,9.0,2.0,,,,,,,,28
DE 116,Main,1.0,11.0,,,12.0,10.0,2.0,,1.0,,,,,,37
DE 129,Main,20.0,7.0,,,2.0,,,,,,,,,,29
DE 134,Main,7.0,21.0,,,8.0,,,1.0,,,,,,,37
DE 136,Main,4.0,4.0,,,10.0,13.0,3.0,1.0,1.0,,,,,,36
DE 202,Main,5.0,14.0,,,12.0,4.0,,,,,,,,,35
DE 204,Main,15.0,12.0,,,7.0,1.0,,,,1.0,,,,,36
DE 206,Main,14.0,12.0,,,9.0,,,,,,1.0,,,,36
DE 208,Main,5.0,7.0,,,2.0,,,,,,,,,,14
DE 210,Main,1.0,8.0,,,8.0,6.0,5.0,1.0,3.0,,,,,,32
DE 212,Main,3.0,6.0,,,16.0,,1.0,,,,,,,,26
DE 214,Main,5.0,7.0,,,3.0,,,,,,,,,,15
DE 216,Main,7.0,52.0,1.0,,50.0,23.0,11.0,12.0,7.0,,8.0,,,,171
DE 222,Main,,21.0,,,13.0,,1.0,,,,,,,,35
DE 232,Main,4.0,9.0,,,1.0,,,,1.0,,,,,,15
DE 250,S1,49.0,66.0,,,38.0,12.0,2.0,,,,,,,,167
DE 250,S2,27.0,60.0,,,46.0,13.0,,2.0,,,1.0,,,,149
DE 250,S3,49.0,78.0,,,30.0,5.0,4.0,2.0,,,1.0,,,,169
DE 250,S4,44.0,62.0,,,52.0,14.0,3.0,,,,1.0,,,,176
DE 250,S5,39.0,80.0,,,39.0,9.0,2.0,1.0,,,2.0,,,,172
DE 250,S6,28.0,55.0,,,52.0,9.0,,2.0,,,1.0,,,,147
DE 250,S7,23.0,100.0,,,41.0,5.0,2.0,,1.0,,,,,,172
DE 250,S8,46.0,74.0,,,37.0,9.0,,,3.0,,,,,,169
DE 301,Main,7.0,9.0,,,7.0,5.0,4.0,3.0,,,,,,,35
DE 306,Main,4.0,6.0,,,8.0,1.0,,,,,1.0,,,,20
DE 308,Main,,3.0,,,3.0,,,,,,,,,,6
DE 312,Main,2.0,,,,1.0,,,,,,1.0,,,,4
DE 313,Main,3.0,1.0,,,1.0,2.0,,,,,,,,,7
DE 318,Main,5.0,9.0,,,21.0,2.0,2.0,,,,,,,,39
DE 323,Main,8.0,1.0,,,,1.0,,,1.0,,,,,,11
DE 324,Main,4.0,5.0,,,12.0,,,,,,,,,,21
DE 328,Main,22.0,16.0,,,7.0,4.0,,,,,1.0,,,,50
DE 328,M,1.0,,,,,,,,,,,,,,1
DE 333,Main,,2.0,,,2.0,3.0,,,,,,,,,7
